,emphasized,actual,sentiment
163,likkkkkkkkkkkke,like,1
164,likkkkkkkke,like,1
165,likkkkkkkkkkkkkke,like,1
166,liiiiiiiiike,like,1
167,liiiiiiiiiiiiiiike,like,1
168,liiiiiiiiiiiiiike,like,1
169,likeee,like,1
170,likeeeeeeeeeeeeee,like,1
171,likkkkkkke,like,1
172,liike,like,1
173,llllllike,like,1
174,lllllllllllllike,like,1
175,liike,like,1
176,likeeeeeeeeeeeee,like,1
177,likkkkkkkke,like,1
178,llllllllllllike,like,1
179,likkkkkkkkkkkkkkke,like,1
180,liiiiiiiiike,like,1
181,likkkkkkke,like,1
182,likeeee,like,1
183,lllllllllllllllike,like,1
184,liiiiiiiiiiike,like,1
185,lllllllllllllike,like,1
186,liiiiiiiiiiiiike,like,1
187,liiiiiiike,like,1
188,likeeeeeeeeeeeeeee,like,1
189,liiiiiiiiiike,like,1
190,likkkkkkkkkke,like,1
191,likkkkkkkkkke,like,1
192,likeeeeeeeeeeee,like,1
193,llllllllllllllike,like,1
194,lllllllllllike,like,1
195,likeeeee,like,1
196,likeeeeeeeeeeeeee,like,1
197,likke,like,1
198,likkkkkkkke,like,1
199,liiiiiiiiiiike,like,1
200,llllllike,like,1
201,llllllllllllike,like,1
202,lllllllllllllike,like,1
203,liiiiike,like,1
204,likeeeeeeeeeeeee,like,1
205,lllllllllike,like,1
206,likkke,like,1
207,llllllllllike,like,1
208,liiiiiiiiike,like,1
209,likkkkkkkkkkkkkke,like,1
210,liike,like,1
211,llike,like,1
212,likeeeee,like,1
213,liiiiike,like,1
214,likeeeeee,like,1
215,likkkkkkkkkkkkkkke,like,1
216,likeeeeeeeeeeee,like,1
217,likkkkkkke,like,1
218,likeeeeeeee,like,1
219,likkkke,like,1
220,likeeeeeeeee,like,1
221,liiiiiiiiiiiiiiike,like,1
222,likeeee,like,1
223,liiiiiiiiiiiike,like,1
224,lllllllllllllllike,like,1
225,likeee,like,1
226,lllllike,like,1
227,likeeeeeee,like,1
228,likeeeeeeee,like,1
229,likkkkkkkke,like,1
230,lllllllllllllike,like,1
231,liiiike,like,1
232,llllllike,like,1
233,lllllllike,like,1
234,llllllllllllllike,like,1
235,liiiiiiiiiiiiiiike,like,1
236,llike,like,1
237,llllike,like,1
238,likkkkkkkkkkkke,like,1
239,liiiike,like,1
240,liiiiiike,like,1
241,lllike,like,1
242,likeeeeeeeeee,like,1
243,liike,like,1
244,likeeeeeeeeeeeee,like,1
245,lllllllllllllike,like,1
246,liiiiiiiiiiiike,like,1
247,lllllllllllllike,like,1
248,likeeeeeeeeee,like,1
249,likeeeeeeeeeeee,like,1
250,likeeeeeee,like,1
251,likkkkkkkkkke,like,1
252,likkkkkkkkkkkkkkke,like,1
253,likeeeeeeeeeeee,like,1
254,likeee,like,1
255,lllike,like,1
256,llllllllllllike,like,1
257,llllike,like,1
258,liiiiiiiiike,like,1
259,likkkkkkkke,like,1
260,liiiiiiike,like,1
261,likeeeeeeeeeeeeee,like,1
262,likeeeeeee,like,1
263,lllllllllllllike,like,1
264,likeeeeeeee,like,1
265,liike,like,1
266,liiiiiiike,like,1
267,likeeeeeeeeeeeeeee,like,1
268,likeeeeeeeeeeee,like,1
269,liike,like,1
270,lllllllike,like,1
271,llllllllike,like,1
272,likkkkkkkkke,like,1
273,lllike,like,1
274,llllllike,like,1
275,likkkke,like,1
276,llike,like,1
277,likeeeeee,like,1
278,likeeeeeeee,like,1
279,liiiiiiiiike,like,1
280,likeeeeeeeeeeeeee,like,1
281,liike,like,1
282,liiiiiiiiiiike,like,1
283,likeee,like,1
284,liiiiiiiike,like,1
285,llllllllllllllike,like,1
286,likeee,like,1
287,likeee,like,1
288,likeeeeeeeeeeeeee,like,1
289,liiiiiike,like,1
290,llllllllllike,like,1
291,likkkkkkkkkke,like,1
292,liiiiiiiiike,like,1
293,liiiiiiiiiiike,like,1
294,likkkkkkkkkkke,like,1
295,likeeeeeeee,like,1
296,likkkkkkkke,like,1
297,llllllike,like,1
298,likeeeeeeeee,like,1
299,likeeeeeeeee,like,1
300,likkkkkkkkkkkke,like,1
301,llllike,like,1
302,liiiiike,like,1
303,liiiiike,like,1
304,lllllike,like,1
305,lllllllike,like,1
306,liiiiiiiiiiiike,like,1
307,likeeeeeeeeeeee,like,1
308,llllllllllike,like,1
309,llike,like,1
310,likeeeeeeeeeeeeee,like,1
311,likeeeeeeee,like,1
312,likkkkkkke,like,1
313,llllllllllike,like,1
314,liike,like,1
315,liiiiiiiiike,like,1
316,liiiiiiiiiiike,like,1
317,llllike,like,1
318,likeeeeeeeeeee,like,1
319,liiiiiiiiiiiike,like,1
320,likkkkkkkkkke,like,1
321,llike,like,1
322,likkkkkkkkkke,like,1
323,liiiiiike,like,1
324,likeeeeee,like,1
325,likkkke,like,1
326,likkkkkkkkkkkkke,like,1
327,likeee,like,1
328,liiiiiiiiiiiike,like,1
329,likkkkkke,like,1
330,likeeeeeee,like,1
331,likke,like,1
332,likkkkke,like,1
333,likeeeeeeee,like,1
334,likeeeeeeeeeeeee,like,1
335,liiiiike,like,1
336,likeeeeeeeeeeeeee,like,1
337,likeeeeeeeeee,like,1
338,lllllllllllllllike,like,1
339,liiiike,like,1
340,likeeeeeeeeeee,like,1
341,likeeeeeeeee,like,1
342,likeeeeee,like,1
343,likkkkkkkkke,like,1
344,liiiiiiike,like,1
345,liiiiike,like,1
346,liike,like,1
347,likeeeeeeeeeee,like,1
348,likee,like,1
349,likeeeee,like,1
350,likkkkkkkkkkke,like,1
351,likkkkkke,like,1
352,lllllllllllllllike,like,1
353,likkkke,like,1
354,lllllike,like,1
355,llike,like,1
356,likke,like,1
357,likeeeeeeee,like,1
358,liiiiike,like,1
359,lllllllike,like,1
360,likeeeeeeeeee,like,1
361,likeeeeeeeeeeeee,like,1
362,liiiiiiiike,like,1
363,likkkkkkkkkkke,like,1
364,liiiiiiiiiiiiike,like,1
365,likkkkkkke,like,1
366,likkkkkkkkkkkke,like,1
367,liiiike,like,1
368,likkkkkkkkkkke,like,1
369,likee,like,1
370,likeee,like,1
371,liiiiiiiiiiike,like,1
372,likkke,like,1
373,liiiiiiiiiike,like,1
374,liiike,like,1
375,likkkkkkkkkkkkkke,like,1
376,lllllike,like,1
377,llllllllllllike,like,1
378,likkkkkkke,like,1
379,likkke,like,1
380,liiiike,like,1
381,likkkkkkkkke,like,1
382,likkkke,like,1
383,likkkkkkkkkkkke,like,1
384,liike,like,1
385,lllllllllllllike,like,1
386,liiiiiiiiiiiike,like,1
387,likeeeeeeeee,like,1
388,likeeeeeeeeeee,like,1
389,liiiiiike,like,1
390,likeeeeeee,like,1
391,likkkkkkkke,like,1
392,llllllllllllllike,like,1
393,liiike,like,1
394,llllllllllllike,like,1
395,likkkkkkkkkkkkke,like,1
396,likkkkkkkkkkkkkke,like,1
397,liiiiiiiiiike,like,1
398,likeeeeeeeeeee,like,1
399,likee,like,1
400,liiike,like,1
401,likkkkkkkkkkkkkke,like,1
402,liiiike,like,1
403,liiiiiiiiike,like,1
404,liiiiiiiiiike,like,1
405,likee,like,1
406,likkkke,like,1
407,likeeee,like,1
408,lllike,like,1
409,liiiiiiiiiiiike,like,1
410,liiiiiiiiiiiiike,like,1
411,liiiiiiiiiiiiike,like,1
412,lllllllllike,like,1
413,liiiiiiiiiike,like,1
414,likkkkkkkkkkkke,like,1
415,likeeeeeee,like,1
416,liiiiiiiiiiiiiiike,like,1
417,likkkke,like,1
418,llllllllllike,like,1
419,likeeeeeeeee,like,1
420,liiiiiiiiiiiiike,like,1
421,likkkkkkkkke,like,1
422,likee,like,1
423,lllllllllllllike,like,1
424,llllllllike,like,1
425,llllllllike,like,1
426,likeeeeeeee,like,1
427,likkkkkkkkkkkkke,like,1
428,liiiiiike,like,1
429,likeeeeeee,like,1
430,lllllllllllllllike,like,1
431,likeeeeeeeeeeeee,like,1
432,likkkkkkkkkkkkke,like,1
433,likkkkkkkkke,like,1
434,likeeeeeee,like,1
435,lllllllike,like,1
436,llllllllllike,like,1
437,likeeeeeee,like,1
438,likeeeeeee,like,1
439,llllllike,like,1
440,likkkkkkkkkkkke,like,1
441,liiiiiiiiike,like,1
442,liiiiiiiiiiike,like,1
443,liiiiiiiike,like,1
444,llllllike,like,1
445,lllike,like,1
446,llllllike,like,1
447,likkkkkkkkkkkke,like,1
448,likkke,like,1
449,liiiiike,like,1
450,llllllllllllllike,like,1
451,likeeeeeee,like,1
452,likeeeeeeeee,like,1
453,likeeeeeeeeeee,like,1
454,liiiiiiiiiiiike,like,1
455,liiiike,like,1
456,likkkkkkkkkke,like,1
457,likeeeeeee,like,1
458,lllllllllike,like,1
459,likkke,like,1
460,likeeeeeeeeeeeeee,like,1
461,likkkkkkkkkkkke,like,1
462,lllllike,like,1
463,likeeee,like,1
464,liiiiiiiiiiiike,like,1
465,lllllllllllike,like,1
466,likkkkkkkke,like,1
467,llllllllllike,like,1
468,likeeeeeeeeee,like,1
469,liiiiiiiiiiiike,like,1
470,likeeeee,like,1
471,liiiiiiiiiiiike,like,1
472,likkkkkkkkkkkke,like,1
473,likeeeeeeeeeeee,like,1
474,likkkkkke,like,1
475,liiiiiike,like,1
476,likkkke,like,1
477,liiiiiiiiiiiike,like,1
478,lllike,like,1
479,likeeeeeeeeeeeee,like,1
480,lllllllllllike,like,1
481,likkkkkkkkkkkkkkke,like,1
482,llllllllllllllike,like,1
483,lllllllllllllllike,like,1
484,likeeee,like,1
485,lllllllllike,like,1
486,likeeeeeeee,like,1
487,likkke,like,1
488,liiiiiiiike,like,1
489,likkkkkkkkkkkkkkke,like,1
490,llllllllllllike,like,1
491,likkkkkkkkkkkkkke,like,1
492,likeeeeeeeeee,like,1
493,likkkke,like,1
494,likeeeeeeeee,like,1
495,llllllllllike,like,1
496,likkkkkkkkkkkkkke,like,1
497,likeeeeeeeeee,like,1
498,likeeeeeeeeee,like,1
499,llllllllllllike,like,1
500,lllllllllllllike,like,1
501,likke,like,1
502,lllllllike,like,1
503,lllllllllllike,like,1
504,likeeeeeee,like,1
505,liiike,like,1
506,liiiiiiiike,like,1
507,liike,like,1
508,lllllike,like,1
509,likkkkkkkkkkkke,like,1
510,llike,like,1
511,lllllllllllllike,like,1
512,llllllike,like,1
513,likeeeeeeee,like,1
514,likeeeeeeeeeeeee,like,1
515,llllllllllike,like,1
516,llllllllllllike,like,1
517,liiiiiiike,like,1
518,likkkkkkkkkkkkkkke,like,1
519,likkkkke,like,1
520,likkkkkkkkkkkke,like,1
521,likkkkke,like,1
522,likkkkkkkke,like,1
523,likkkkkkkkke,like,1
524,llike,like,1
525,liiiiiiiiike,like,1
526,likkkkkkkkkkkkke,like,1
527,liiiike,like,1
528,llllllike,like,1
529,likeeeeeeee,like,1
530,likkkkkkkkkkkkkke,like,1
531,liiiiiiiiiiike,like,1
532,likeeeeeeeeeeeeeee,like,1
533,llllllllllike,like,1
534,likeeeeee,like,1
535,likeeeee,like,1
536,llllllllllllllike,like,1
537,likeeeeeee,like,1
538,lllllllllike,like,1
539,likeeeeee,like,1
540,likeeeeeeeeeeeeeee,like,1
541,likkkkkkkkkkkkkke,like,1
542,llllike,like,1
543,likkkkkkkkkke,like,1
544,likeeee,like,1
545,likkkkkke,like,1
546,likeeeeeeeeeee,like,1
547,liiiiike,like,1
548,likkkkkkkkkke,like,1
549,likkkkkkke,like,1
550,likeeeeeeeeeeeeeee,like,1
551,lllllllllllike,like,1
552,lllllllike,like,1
553,liiiiiike,like,1
554,liiike,like,1
555,likeeee,like,1
556,likeeeeee,like,1
557,likeeeee,like,1
558,llllllllike,like,1
559,llllllllllllllike,like,1
560,llike,like,1
561,likkkkkkkkkkkke,like,1
562,lllllike,like,1
563,llike,like,1
564,likeeeeeee,like,1
565,likeeeeeeee,like,1
566,liiiiiike,like,1
567,likkkkkkkkkkkke,like,1
568,likke,like,1
569,liiiiiiike,like,1
570,likkkkkkkkkkke,like,1
571,llllllllllllllike,like,1
572,llllike,like,1
573,likkkkkkkkke,like,1
574,likkkkkkkkkkkkkkke,like,1
575,likeeeeeeeeeee,like,1
576,llike,like,1
577,likeee,like,1
578,liiiiiiiike,like,1
579,likkkkkkkkkkkkkke,like,1
580,likeeeeeeeeeeeee,like,1
581,liiiiiiiike,like,1
582,likkkkkkkkkke,like,1
583,liiike,like,1
584,liiiiiiiiiiike,like,1
585,liiiiiiiiiiiiiike,like,1
586,likkkkkkkkke,like,1
587,lllllllllllllllike,like,1
588,liiiiiiiiiiiiiiike,like,1
589,likkkkkkkkkkke,like,1
590,likke,like,1
591,liiiiiiike,like,1
592,llllllllllike,like,1
593,likke,like,1
594,liiiiiiiiiike,like,1
595,likkkkkkke,like,1
596,liiike,like,1
597,likkkkkkkkkkkkkke,like,1
598,liiiiiiiiike,like,1
599,liiiiiiiiiiiiiiike,like,1
600,llike,like,1
601,likkkkkke,like,1
602,likkkkkkkkkkkkkkke,like,1
603,llllike,like,1
604,likkkkkkkkke,like,1
605,likeeeeeeeeee,like,1
606,likkkkkkke,like,1
607,likkkke,like,1
608,llllllllllike,like,1
609,liiiiiike,like,1
610,likkkkkkkkkkkke,like,1
611,llllike,like,1
612,likkkkkkkke,like,1
613,likee,like,1
614,liiiiiiiiiiiiiike,like,1
615,likeeeee,like,1
616,likee,like,1
617,llllllllllllllike,like,1
618,liiiiike,like,1
619,llllike,like,1
620,liiike,like,1
621,llllllllllllike,like,1
622,likeee,like,1
623,liiiiiiiiiiiiiike,like,1
624,likkkkkkkkkkkkke,like,1
625,liiike,like,1
626,likkkkkkkke,like,1
627,llllike,like,1
628,likkkkkkkkke,like,1
629,likkkkkkkkke,like,1
630,likeeeeeeee,like,1
631,likkkkkke,like,1
632,likeeeeeeeeeeee,like,1
633,likeeeeeee,like,1
634,likkkkkkkkkkkke,like,1
635,likkkkkke,like,1
636,likeeeeeeeeeeeeee,like,1
637,lllllllllllllllike,like,1
638,lllllllllllllllike,like,1
639,llllllike,like,1
640,likeeeeee,like,1
641,llike,like,1
642,lllllllllllllllike,like,1
643,lllllllike,like,1
644,likee,like,1
645,liiiiiiiiiiiiike,like,1
646,likeeeeeeeeeeee,like,1
647,liiiiiike,like,1
648,lllllllike,like,1
649,likeeeeee,like,1
650,llllllllllike,like,1
651,llike,like,1
652,likeeeeeeeeeeeeeee,like,1
653,liiiiiiiiiike,like,1
654,liiiiiike,like,1
655,likkkkkke,like,1
656,liiiiiiiiiike,like,1
657,lllllllike,like,1
658,liiiiiiiiiiiiiiike,like,1
659,likkkkkkkke,like,1
660,likeeeeeeeeeeee,like,1
661,likeee,like,1
662,likkkkkkkke,like,1
663,liiiiiiiiike,like,1
664,liiiiiiiiiiike,like,1
665,lllllllllike,like,1
666,likkkkkkkkkkkkkkke,like,1
667,liiiiiiiiiiiiike,like,1
668,likkkkkke,like,1
669,liiiiiiiiiiiiiike,like,1
670,lllllike,like,1
671,liike,like,1
672,likkkkkkkkkkkkke,like,1
673,llllllllllllllike,like,1
674,likeeeeeeee,like,1
675,liike,like,1
676,likeeeeeeeeeeeeee,like,1
677,llllllike,like,1
678,likkkkkkkkkkkke,like,1
679,likeeeeeeee,like,1
680,likeee,like,1
681,likeeeeeeee,like,1
682,likee,like,1
683,likeeeeeeeeeeee,like,1
684,likkkkkke,like,1
685,liiiiiiiiiiiiike,like,1
686,likkkkkkkke,like,1
687,liike,like,1
688,likeeeeeeeeeeeee,like,1
689,likeeeeeeeeeeeeeee,like,1
690,liiiiiiiiike,like,1
691,liiike,like,1
692,lllllllllllike,like,1
693,likeeeeeeeeeee,like,1
694,liiiiiiiiiiiiike,like,1
695,llllllllllike,like,1
696,likkkkkkkkkkkkkkke,like,1
697,likkkkkke,like,1
698,llike,like,1
699,likkkkke,like,1
700,lllllllllike,like,1
701,likeeeeeeeeeeeee,like,1
702,likeeeeeee,like,1
703,likkkkkkkkkkkkke,like,1
704,llllllllllllllike,like,1
705,likkkkkke,like,1
706,likeeeeeeeee,like,1
707,lllllllllllllllike,like,1
708,likkkkkkkkkkke,like,1
709,liiiiiiiiiike,like,1
710,likkkkkke,like,1
711,liike,like,1
712,likkkkkkke,like,1
713,liiiiiike,like,1
714,liiiiiike,like,1
715,likkke,like,1
716,likkkkkkkkkkkke,like,1
717,lllllllllllike,like,1
718,likeeeeeeeeeeeee,like,1
719,likeeeeeeeeeeee,like,1
720,lllllllllllllike,like,1
721,likkkke,like,1
722,likeeeee,like,1
723,lllllllllllike,like,1
724,liiiike,like,1
725,lllllllllllike,like,1
726,lllllllllike,like,1
727,lllllllllllllike,like,1
728,likeeeeeeeeeeeeee,like,1
729,likeeeee,like,1
730,likkkkkkkkkkkkke,like,1
731,likee,like,1
732,likeeeeee,like,1
733,lllike,like,1
734,llike,like,1
735,liiiiiiiiiiiiiike,like,1
736,likke,like,1
737,lllllike,like,1
738,likkkkkkkkke,like,1
739,lllllllllllllike,like,1
740,likeeeeeeeeeeee,like,1
741,llllllllike,like,1
742,lllllike,like,1
743,liiiike,like,1
744,liiike,like,1
745,liiiiiiiiiiiiiike,like,1
746,likeeeeeeee,like,1
747,likkkkkkkkkke,like,1
748,likeeeeeeee,like,1
749,likeeeeeeeeee,like,1
750,likeeeeeeeeeeee,like,1
751,likkkkkkkkkke,like,1
752,llllllllllllllike,like,1
753,likeeeeeeeeee,like,1
754,likeeeeeeee,like,1
755,likeeeeeeeeeeeee,like,1
756,lllike,like,1
757,llllike,like,1
758,likeeeeeeeeeeeeee,like,1
759,liiiiiiiiiiiiiiike,like,1
760,liiiiiiike,like,1
761,likeeeeeeeeeee,like,1
762,liiiiiiiiiiiiiike,like,1
763,llllllllike,like,1
764,llike,like,1
765,likeeeeeeeeeeeee,like,1
766,likeeeeeee,like,1
767,likeeeeeeeeeeeee,like,1
768,liiiiiiiiiike,like,1
769,llike,like,1
770,llllllllllllike,like,1
771,likkkkkkkkkkkkkkke,like,1
772,likeeeeeeeeeeeee,like,1
773,llllllllllike,like,1
774,likeeeeeeeee,like,1
775,likeeeeeeeee,like,1
776,liiiiiike,like,1
777,likeeeeee,like,1
778,lllllllllllike,like,1
779,lllike,like,1
780,llllllllllike,like,1
781,liike,like,1
782,likeeeeeeeeeeee,like,1
783,likkkkkkkkkkkkke,like,1
784,lllllllllike,like,1
785,lllllllllllllllike,like,1
786,llllllllllllllike,like,1
787,likeeeeeeeeeeee,like,1
788,lllike,like,1
789,likeeeeeee,like,1
790,llllllllllike,like,1
791,likeeeeeeeeeee,like,1
792,likeeeeeeeeeeeeee,like,1
793,liiike,like,1
794,likke,like,1
795,liiiiiiiiiiiike,like,1
796,liiiike,like,1
797,likeeee,like,1
798,likkkkkke,like,1
799,liiike,like,1
800,liiiiiike,like,1
801,lllllike,like,1
802,lllllllllike,like,1
803,liiiiiiiiiiiiiike,like,1
804,likkkkkkkke,like,1
805,liiike,like,1
806,lllllllllllllike,like,1
807,liiiiiiiiiiiike,like,1
808,lllllllllllllllike,like,1
809,likkke,like,1
810,liiiiiiiike,like,1
811,likkkkke,like,1
812,likkkkkke,like,1
813,likeee,like,1
814,likkkkkkkkkkkke,like,1
815,lllllllllike,like,1
816,lllllllllllike,like,1
817,likkkkkkke,like,1
818,llllllllike,like,1
819,liiiiiiiiiike,like,1
820,likkkkkkkkkkkke,like,1
821,lllllllllllllllike,like,1
822,liiiike,like,1
823,liiiiike,like,1
824,liiiike,like,1
825,liiiiiiiiiiiike,like,1
826,likkkkkkke,like,1
827,liiiiiiiiiiiiiiike,like,1
828,liiiiiiiike,like,1
829,likkkkkkkkkkkkkke,like,1
830,llllllike,like,1
831,likkkkkkkkkkkkkke,like,1
832,liiiiiiiiiiiiike,like,1
833,likeeeeee,like,1
834,likkkkkkkke,like,1
835,likkke,like,1
836,lllllllllllllike,like,1
837,llike,like,1
838,likkkkkkkkkkkke,like,1
839,likeeee,like,1
840,likkkkkkkkkkkkkke,like,1
841,likkke,like,1
842,llllllllllllike,like,1
843,lllllllllllike,like,1
844,llike,like,1
845,llike,like,1
846,llllllllllike,like,1
847,lllllllllllllike,like,1
848,likkkkkkkkkkkke,like,1
849,llike,like,1
850,llllike,like,1
851,likeeeeeeeeeeeee,like,1
852,likkkkkkkke,like,1
853,likkkkkkkkkkkke,like,1
854,lllllllllllllike,like,1
855,liiike,like,1
856,liiiike,like,1
857,lllllllllllike,like,1
858,llike,like,1
859,liiiike,like,1
860,likkkkkkke,like,1
861,liiiike,like,1
862,llllike,like,1
863,liiike,like,1
864,likee,like,1
865,lllllllllllike,like,1
866,likeeeeeeeeeeeeeee,like,1
867,liiiiiiike,like,1
868,liiiiiiiiiiiiike,like,1
869,llllllike,like,1
870,liiiiike,like,1
871,likkkkke,like,1
872,likkkkkkkkkkkke,like,1
873,likkke,like,1
874,likkkkkkke,like,1
875,likkkkkkkkke,like,1
876,lllllllllllllike,like,1
877,likeeeeeeeeeeeeeee,like,1
878,likeeeeeeeeeeeeeee,like,1
879,likke,like,1
880,llike,like,1
881,liiiiiiiiiiiiiiike,like,1
882,likeeeeee,like,1
883,likkkkkkke,like,1
884,liiiiiiiiiiiike,like,1
885,likkkke,like,1
886,likeeeeeeeeee,like,1
887,likeeeeeeeeeee,like,1
888,lllllike,like,1
889,liiiiiiike,like,1
890,likke,like,1
891,likkkkkkkkkkke,like,1
892,likeeeeeee,like,1
893,liiiiiiiiiiiiike,like,1
894,likkke,like,1
895,likeeeeeeeeeeeeeee,like,1
896,liiiiike,like,1
897,liiiiiiiiiiiiiiike,like,1
898,likkkkkkke,like,1
899,likeeeeeeeee,like,1
900,likeeeee,like,1
901,llllllllike,like,1
902,likkkkke,like,1
903,liiiike,like,1
904,likeee,like,1
905,liiiiiiiiiiiiiiike,like,1
906,likeeeeeeeee,like,1
907,liiiiiiiiiiiiiiike,like,1
908,likke,like,1
909,lllllike,like,1
910,likeeeeeee,like,1
911,likkkkke,like,1
912,likkkkke,like,1
913,liiiiiiiiiiike,like,1
914,likeeeeeeee,like,1
915,likeeeeeeeeeeeee,like,1
916,llllllllllike,like,1
917,liiiiiiiiiiiiike,like,1
918,llllllllllllllike,like,1
919,liiiiiiiike,like,1
920,likeeeeeeeeeeeee,like,1
921,likkkkkkkkkkkkke,like,1
922,likkkkkkkkkke,like,1
923,likee,like,1
924,liiiiiiiiiiiiiiike,like,1
925,liiiiiiiiiike,like,1
926,likeeeeeeeeeeeeeee,like,1
927,liiiiiiiiiiiiike,like,1
928,likeeeeee,like,1
929,llllllllllike,like,1
930,lllllllllllllike,like,1
931,likkkkkkkkkkkke,like,1
932,liiiiiike,like,1
933,likeee,like,1
934,likkkkkkkkkkke,like,1
935,likeeeeeeeeeeeeee,like,1
936,lllllllllike,like,1
937,liiiiiiike,like,1
938,likkkkkkkke,like,1
939,likkkkkkkkkkkkkke,like,1
940,likkkkkkkke,like,1
941,likeeeeeeeeee,like,1
942,liiiiiiiiike,like,1
943,likke,like,1
944,liiiiiiiiiiiiiiike,like,1
945,likkkke,like,1
946,liiiiiike,like,1
947,llllike,like,1
948,likeeeeeeeeeeeeee,like,1
949,likeeeeee,like,1
950,liiiiiiiiiiiike,like,1
